date,area,category
2026-04-01,下連雀2丁目,燃やせないごみ
2026-04-02,下連雀2丁目,燃やせるごみ
2026-04-03,下連雀2丁目,古紙・古着
2026-04-03,下連雀2丁目,空きびん・缶
2026-04-06,下連雀2丁目,燃やせるごみ
2026-04-07,下連雀2丁目,プラスチック・有害ごみ
2026-04-09,下連雀2丁目,燃やせるごみ
2026-04-10,下連雀2丁目,古紙・古着
2026-04-10,下連雀2丁目,ペットボトル
2026-04-13,下連雀2丁目,燃やせるごみ
2026-04-14,下連雀2丁目,プラスチック・有害ごみ
2026-04-15,下連雀2丁目,燃やせないごみ
2026-04-16,下連雀2丁目,燃やせるごみ
2026-04-17,下連雀2丁目,古紙・古着
2026-04-17,下連雀2丁目,空きびん・缶
2026-04-20,下連雀2丁目,燃やせるごみ
2026-04-21,下連雀2丁目,プラスチック・有害ごみ
2026-04-23,下連雀2丁目,燃やせるごみ
2026-04-24,下連雀2丁目,古紙・古着
2026-04-24,下連雀2丁目,ペットボトル
2026-04-27,下連雀2丁目,燃やせるごみ
2026-04-28,下連雀2丁目,プラスチック・有害ごみ
2026-04-30,下連雀2丁目,燃やせるごみ
2026-05-01,下連雀2丁目,古紙・古着
2026-05-01,下連雀2丁目,空きびん・缶
2026-05-04,下連雀2丁目,燃やせるごみ
2026-05-05,下連雀2丁目,プラスチック・有害ごみ
2026-05-06,下連雀2丁目,燃やせないごみ
2026-05-07,下連雀2丁目,燃やせるごみ
2026-05-08,下連雀2丁目,古紙・古着
2026-05-08,下連雀2丁目,ペットボトル
2026-05-11,下連雀2丁目,燃やせるごみ
2026-05-12,下連雀2丁目,プラスチック・有害ごみ
2026-05-14,下連雀2丁目,燃やせるごみ
2026-05-15,下連雀2丁目,古紙・古着
2026-05-15,下連雀2丁目,空きびん・缶
2026-05-18,下連雀2丁目,燃やせるごみ
2026-05-19,下連雀2丁目,プラスチック・有害ごみ
2026-05-20,下連雀2丁目,燃やせないごみ
2026-05-21,下連雀2丁目,燃やせるごみ
2026-05-22,下連雀2丁目,古紙・古着
2026-05-22,下連雀2丁目,ペットボトル
2026-05-25,下連雀2丁目,燃やせるごみ
2026-05-26,下連雀2丁目,プラスチック・有害ごみ
2026-05-28,下連雀2丁目,燃やせるごみ
2026-05-29,下連雀2丁目,古紙・古着
2026-06-01,下連雀2丁目,燃やせるごみ
2026-06-02,下連雀2丁目,プラスチック・有害ごみ
2026-06-03,下連雀2丁目,燃やせないごみ
2026-06-04,下連雀2丁目,燃やせるごみ
2026-06-05,下連雀2丁目,古紙・古着
2026-06-05,下連雀2丁目,空きびん・缶
2026-06-08,下連雀2丁目,燃やせるごみ
2026-06-09,下連雀2丁目,プラスチック・有害ごみ
2026-06-11,下連雀2丁目,燃やせるごみ
2026-06-12,下連雀2丁目,古紙・古着
2026-06-12,下連雀2丁目,ペットボトル
2026-06-15,下連雀2丁目,燃やせるごみ
2026-06-16,下連雀2丁目,プラスチック・有害ごみ
